# Liste des 298 mots faciles du niveau A2 (étape 1 / fondamentaux)

word_20 | FR: ah | EN: ah | ES: ah | DE: ah | interj
word_498 | FR: les médias | EN: media | ES: los medios | DE: die Medien | nom
word_486 | FR: majeur / majeure / important | EN: major / main / important | ES: mayor / principal / importante | DE: wichtig / bedeutend / groß | adjectif
word_511 | FR: mobile / portable | EN: mobile / portable | ES: móvil / portátil | DE: mobil / tragbar | adjectif
word_536 | FR: normal / normale | EN: normal | ES: normal | DE: normal | adjectif
word_670 | FR: passer en revue / réviser / examiner | EN: review / revise / examine | ES: revisar / repasar / examinar | DE: überprüfen / wiederholen | verbe
word_595 | FR: poli / polie / courtois | EN: polite / courteous / civil | ES: educado / educada / cortés | DE: höflich / anständig | adjectif
word_468 | FR: probable / vraisemblable | EN: likely / probable | ES: probable / verosímil | DE: wahrscheinlich / vermutlich | adjectif
word_623 | FR: public / publique | EN: public | ES: público / pública | DE: öffentlich | adjectif
word_651 | FR: réduire / diminuer / baisser | EN: reduce / decrease / lower | ES: reducir / disminuir / bajar | DE: reduzieren / verringern / senken | verbe
word_331 | FR: se concentrer / focaliser | EN: focus / concentrate | ES: concentrarse / enfocarse | DE: sich konzentrieren / fokussieren | verbe
word_45 | FR: se disputer / débattre / se quereller | EN: argue / dispute / quarrel | ES: discutir / pelear / debatir | DE: streiten / diskutieren | verbe
word_715 | FR: servir | EN: serve | ES: servir | DE: servieren | verbe
word_731 | FR: simple / basique | EN: simple / basic / easy | ES: simple / sencillo / básico | DE: einfach / schlicht | adjectif
word_754 | FR: social | EN: social | ES: social | DE: sozial | adjectif
word_788 | FR: stupide / bête / idiot | EN: stupid / foolish / silly | ES: estúpido / tonto / bobo | DE: dumm / blöd / albern | adjectif
word_66 | FR: terrible / affreux / horrible | EN: awful / terrible / horrible | ES: terrible / horrible / espantoso | DE: schrecklich / furchtbar / scheußlich | adjectif
word_836 | FR: total | EN: total | ES: total | DE: gesamt | adjectif
word_820 | FR: épais / gros | EN: thick / dense | ES: grueso / denso / espeso | DE: dick / dicht | adjectif
word_32 | FR: ancien / antique | EN: ancient / antique | ES: antiguo / milenario | DE: alt / antik / uralt | adjectif
word_49 | FR: arranger / organiser | EN: arrange / organize | ES: organizar / arreglar | DE: arrangieren / organisieren | verbe
word_6 | FR: atteindre / accomplir / réussir | EN: achieve / accomplish / reach | ES: lograr / alcanzar / conseguir | DE: erreichen / schaffen | verbe
word_59 | FR: attractif / séduisant / attrayant | EN: attractive / charming / appealing | ES: atractivo / seductor | DE: attraktiv / anziehend | adjectif
word_132 | FR: certain / sûr | EN: certain / sure / definite | ES: cierto / seguro | DE: sicher / gewiss | adjectif
